medcodeid,term
387351000000117,"post-transplantation of kidney examination, live donor"
387911000000115,"pre-transplantation of kidney work-up, live donor"
394350012,creation of arteriovenous fistula nec
394352016,repair of acquired arteriovenous fistula
394365013,transplant nephrectomy
394639018,compensation for renal failure
394640016,renal dialysis
394661000006112,[x]kidny dialysis caus abn reac pt/lat comp no misad at time
396706011,nephrotic syndrome with minimal change glomerulonephritis
3973811000006118,chronic renal failure syndrome
3973841000006119,crf - chronic renal failure
399381000000115,allotransplantation of kidney from cadaver nec
413415016,unexplained episode of renal transplant dysfunction
4152501000006114,dialysis procedure
4223014,bilateral nephrectomy
422992018,excision of rejected transplanted kidney
424791000006110,[x]renal tubulo-interstitial disorders/transplant rejection
441151000006115,"accid cut,puncture,perf,h'ge - kidney dialysis"
441161000006118,"accid cut,puncture,perf,h'ge - kidney dialysis/oth perfusion"
441211000006110,"accid cut,puncture,perf,h'ge - perfusion nos"
446291000006111,accidental cut/puncture/perf/haem'ge during renal dialysis
4542501000006119,history of renal transplant
4542521000006112,history of - kidney recipient
454255014,anaemia secondary to renal failure
458521000006111,acute nephrotic syndrm diffuse crescentic glomerulonephritis
460644012,[v]kidney transplanted
460680012,[v]renal dialysis status
460910019,[v]aftercare involving intermittent dialysis
460911015,[v]aftercare involving extracorporeal dialysis
461420012,[x]other dialysis
4668951000006113,autotransplantation of kidney
4668961000006110,autotransplant kidney
4668971000006115,renal autotransplantation
4668981000006117,renal autotransplantation or reimplantation of kidney
4669011000006116,live donor renal allotransplant
4669031000006110,live donor renal allograft
4669051000006115,cadaver renal allotransplant
4669061000006118,cadaver renal allograft
4669451000006113,exploration of kidney transplant
4694051000006116,removal of chronic ambulatory peritoneal dialysis catheter
478131000006115,allotransplantation of kidney from cadaver
4788371000006112,cnf - finnish congenital nephrotic syndrome
4788421000006117,nephrotic syndrome due to diabetes mellitus
4788461000006111,malarial nephrosis
480871000006117,anaemia secondary to chronic renal failure
4898631000006119,"accidental cut, puncture, perforation or hemorrhage during kidney dialysis"
500371000006119,autotransplant of kidney
501594013,transplantation of kidney
5051121000006115,creation of cimino fistula
5051131000006117,creation of brescia-cimino fistula
5051151000006112,creation brachiocephalic fistula
5052891000006116,hf - hemofiltration
5052901000006117,hf - haemofiltration
5052911000006119,hemofiltration
5052921000006110,haemofiltration therapy
5052931000006113,hemofiltration therapy
509111010,chronic renal failure
5093331000006111,steroid-responsive nephrotic syndrome
5093341000006118,ssns - steroid-sensitive nephrotic syndrome
5093451000006111,wilms' tumor and nephrotic syndrome with pseudohermaphroditism
5093471000006118,rpgn - rapidly progressive glomerulonephritis
5094141000006118,acute on chronic renal failure
5095191000006114,goodpasture disease
5095591000006119,first use syndrome of dialysis
5096141000006114,chronic allograft nephropathy
5120141000006114,flushing of chronic ambulatory peritoneal dialysis catheter
5120171000006118,capd - continuous ambulatory peritoneal dialysis
5307111000006113,dialysis observation
5486891000006118,removal of transplanted kidney
5488801000006112,kidney dialysis
5488811000006110,artificial kidney dialysis
5524381000006119,chronic ambulatory peritoneal dialysis catheter procedure
557811000000119,chronic kidney disease stage 3a
557831000000110,chronic kidney disease stage 3b
5616371000006112,av - procedure related to surgical arteriovenous connection
5686451000006112,removal of rejected kidney
5907531000006119,hemodialysis procedure
5907541000006112,hd - hemodialysis
5907551000006114,hd - haemodialysis
5907561000006111,haemodialysis procedure
5907571000006116,extracorporeal hemodialysis
5907581000006118,extracorporeal haemodialysis
5907591000006115,hemodialysis
595541000000119,chronic kidney disease stage 1 with proteinuria
595601000000118,chronic kidney disease stage 1 without proteinuria
595661000000119,chronic kidney disease stage 2 with proteinuria
595721000000116,chronic kidney disease stage 2 without proteinuria
595811000000117,chronic kidney disease stage 3 with proteinuria
595871000000110,chronic kidney disease stage 3 without proteinuria
595931000000116,chronic kidney disease stage 3a with proteinuria
595991000000115,chronic kidney disease stage 3a without proteinuria
596051000000115,chronic kidney disease stage 3b with proteinuria
596131000000114,chronic kidney disease stage 3b without proteinuria
596191000000110,chronic kidney disease stage 4 with proteinuria
596261000000111,chronic kidney disease stage 4 without proteinuria
596321000000110,chronic kidney disease stage 5 with proteinuria
596401000000111,chronic kidney disease stage 5 without proteinuria
6002501000006116,anemia secondary to renal failure
600481000006118,creation of radial-cephalic fistula
615611000006116,det.ren.func.after ren.transpl
618391000000118,ckd stage 1 with proteinuria
618401000000115,ckd stage 1 without proteinuria
618411000000118,ckd stage 2 with proteinuria
618421000000112,ckd stage 2 without proteinuria
618431000000114,ckd stage 3 with proteinuria
618441000000117,ckd stage 3 without proteinuria
618451000000119,ckd stage 3a with proteinuria
618461000000116,ckd stage 3a without proteinuria
618471000000111,ckd stage 3b with proteinuria
618481000000113,ckd stage 3b without proteinuria
618491000000110,ckd stage 4 with proteinuria
618501000000116,ckd stage 4 without proteinuria
618511000000119,ckd stage 5 with proteinuria
618521000000113,ckd stage 5 without proteinuria
619541000006116,dialysis for renal failure
637771000000113,ligation of arteriovenous dialysis fistula
638111000000115,ligation of arteriovenous dialysis graft
641471000006117,end stage renal failure
641491000006116,end-stage renal disease
663551000006118,failure of sterile precautions during renal dialysis
677461000006115,nephrotic syn difus mesangial prolifertiv glomerulonephritis
677471000006110,"nephrotic syn,diffuse mesangiocapillary glomerulonephritis"
677481000006113,"nephrotic syn,difus endocapilary proliftv glomerulonephritis"
677561000006119,Nephrotic syndrome in systemic lupus erythematosus
677621000006112,nephrotic syndrome+membranoproliferative glomerulonephritis
703481000006116,microcystic type congenital nephrotic syndrome
7068291000006112,extracorporeal albumin hemodialysis
7081801000006114,removal of thrombus of arteriovenous fistula
7091541000006113,post-transplantation of kidney examination of recipient
710221000006113,finnish nephrosis syndrome
7118431000006118,infection of arteriovenous graft for haemodialysis
7118441000006111,infection of arteriovenous graft for hemodialysis
7118451000006113,infection of dialysis graft
713611000006110,mechanical failure of apparatus during kidney dialysis
713671000006118,mechanical failure of apparatus during renal dialysis
7147741000006114,ckd stage 1
7147761000006113,ckd stage 2
7147781000006115,ckd stage 4
7174791000006111,ckd stage 3
7174851000006111,ckd stage 5
7367691000006114,infection of haemodialysis arteriovenous fistula
7367701000006114,infection of arteriovenous fistula for hemodialysis
7367721000006116,infection of hd av fistula
7367731000006118,infection of hd arteriovenous fistula
7367741000006111,infection of arteriovenous fistula for haemodialysis
743721000006115,ligation of acquired arteriovenous fistula
74720014,lipoid nephrosis
754061000006111,"kidney transplant with complication, without blame"
754781000006116,"kidney dialysis with complication, without blame"
7688001000006116,allotransplantation of kidney with dbd (donation after brain stem death)
7688041000006119,allotransplantation of kidney with dcd (donation after cardiac death)
7688541000006114,transplantation of kidney regime
773041000006111,insertion of ambulatory peritoneal dialysis catheter
789941000006117,hyperten heart&renal dis+both(congestv)heart and renal fail
8104101000006118,ckd (chronic kidney disease stage) 1 with proteinuria
8104131000006114,ckd (chronic kidney disease) stage 1 without proteinuria
8104161000006117,ckd (chronic kidney disease) stage 2 with proteinuria
8104191000006113,ckd (chronic kidney disease) stage 2 without proteinuria
8104231000006115,ckd (chronic kidney disease) stage 3 with proteinuria
8104261000006112,ckd (chronic kidney disease) stage 3 without proteinuria
8104301000006115,ckd (chronic kidney disease) stage 3a with proteinuria
8104351000006116,ckd (chronic kidney disease) stage 3a without proteinuria
8104381000006112,ckd (chronic kidney disease) stage 3b with proteinuria
8104411000006110,ckd (chronic kidney disease) stage 3b without proteinuria
8104451000006111,ckd (chronic kidney disease) stage 4 with proteinuria
8104481000006115,ckd (chronic kidney disease) stage 4 without proteinuria
8104511000006111,ckd (chronic kidney disease) stage 5 with proteinuria
8104551000006112,ckd (chronic kidney disease) stage 5 without proteinuria
81307015,congenital nephrotic syndrome
8345541000006113,chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a1
8345571000006117,chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a2
8345611000006110,chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a3
8345651000006111,chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a1
8345681000006115,chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a2
8345731000006113,chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a3
8345881000006116,chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a1
8345901000006119,chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a2
8345931000006110,chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a3
8346001000006110,chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a1
8346021000006117,chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a2
8346041000006112,chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a3
8346101000006114,chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a1
8346121000006116,chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a2
8346151000006113,chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a3
8346171000006115,chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a1
8346201000006116,chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a2
8346221000006114,chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a3
84262013,goodpasture's syndrome
866731000006115,kidney replacement nos
866751000006110,kidney replacement
86957016,nephrotic syndrome
877641000006113,extracorporeal kidney
900121000006113,renal transplant rejected
90461000006118,transplantation of kidney from cadaver
90471000006113,transplantation of kidney from live donor
906351000006116,[rfc] renal transplant
988961000006115,renal transplant rejected
994401000006118,chronic kidney disease stage 1
994411000006115,chronic kidney disease stage 2
994421000006111,chronic kidney disease stage 3
994431000006114,chronic kidney disease stage 4
994441000006116,chronic kidney disease stage 5
