prodcodeid,productname
3160841000033117,lisinopril 10mg / hydrochlorothiazide 12.5mg tablets
3160941000033113,lisinopril 20mg / hydrochlorothiazide 12.5mg tablets
3161141000033116,irbesartan 150mg / hydrochlorothiazide 12.5mg tablets
3161241000033111,irbesartan 300mg / hydrochlorothiazide 12.5mg tablets
3161441000033112,valsartan 160mg / hydrochlorothiazide 12.5mg tablets
3161541000033113,valsartan 160mg / hydrochlorothiazide 25mg tablets
3161641000033114,perindopril erbumine 4mg / indapamide 1.25mg tablets
3161741000033117,losartan 50mg / hydrochlorothiazide 12.5mg tablets
3162241000033117,enalapril 20mg / hydrochlorothiazide 12.5mg tablets
3162641000033119,telmisartan 40mg / hydrochlorothiazide 12.5mg tablets
3162741000033111,telmisartan 80mg / hydrochlorothiazide 12.5mg tablets
3163141000033117,pindolol 10mg / clopamide 5mg tablets
3163241000033112,felodipine 5mg modified-release / ramipril 5mg tablets
3163341000033119,felodipine 2.5mg modified-release / ramipril 2.5mg tablets
3190741000033112,valsartan 80mg / hydrochlorothiazide 12.5mg tablets
3190841000033119,co-diovan 80mg/12.5mg tablets
3201341000033115,valsartan 40mg tablets
3201441000033114,diovan 40mg tablets
3246941000033118,atenolol 50mg / nifedipine 20mg modified-release capsules
3279541000033115,lisicostad 10mg/12.5mg tablets
3279641000033119,lisicostad 20mg/12.5mg tablets
3346641000033118,timolol 10mg / bendroflumethiazide 2.5mg tablets
3908941000033112,olmesartan medoxomil 20mg / hydrochlorothiazide 12.5mg tablets
3909041000033115,olmesartan medoxomil 20mg / hydrochlorothiazide 25mg tablets
3909141000033116,olmetec plus 20mg/12.5mg tablets
3909241000033111,olmetec plus 20mg/25mg tablets
4453941000033114,perindopril arginine 2.5mg tablets
4454041000033111,perindopril arginine 5mg tablets
4454141000033110,perindopril arginine 10mg tablets
4454241000033115,coversyl arginine 2.5mg tablets
4454341000033113,coversyl arginine 5mg tablets
4454441000033119,coversyl arginine 10mg tablets
4454541000033118,perindopril arginine 5mg / indapamide 1.25mg tablets
4454641000033117,coversyl arginine plus 5mg/1.25mg tablets
5005841000033114,olmesartan medoxomil 20mg / amlodipine 5mg tablets
5005941000033118,olmesartan medoxomil 40mg / amlodipine 5mg tablets
5006041000033111,olmesartan medoxomil 40mg / amlodipine 10mg tablets
5006141000033110,sevikar 20mg/5mg tablets
5006241000033115,sevikar 40mg/5mg tablets
5006341000033113,sevikar 40mg/10mg tablets
5149941000033118,losartan 2.5mg/ml oral suspension sugar free
5150041000033110,cozaar 2.5mg/ml oral suspension
5655241000033110,brevibloc premixed 100mg/10ml solution for injection vials
6180641000033112,sevikar hct 20mg/5mg/12.5mg tablets
6180741000033115,sevikar hct 40mg/5mg/12.5mg tablets
6180841000033113,sevikar hct 40mg/10mg/12.5mg tablets
6180941000033117,sevikar hct 40mg/5mg/25mg tablets
6181041000033110,sevikar hct 40mg/10mg/25mg tablets
7754841000033119,azilsartan medoxomil 20mg tablets
7754941000033110,azilsartan medoxomil 40mg tablets
7755041000033110,azilsartan medoxomil 80mg tablets
7755141000033114,edarbi 20mg tablets
7755241000033119,edarbi 40mg tablets
7755341000033112,edarbi 80mg tablets
8264941000033119,triapin 2.5mg/2.5mg modified-release tablets
8961241000033112,noyada 5mg/5ml oral solution
8961341000033119,noyada 25mg/5ml oral solution
9108041000033111,captopril 25mg/5ml oral solution sugar free
9108141000033110,captopril 5mg/5ml oral solution sugar free
10943641000033117,sacubitril 24mg / valsartan 26mg tablets
10943741000033114,sacubitril 49mg / valsartan 51mg tablets
10943841000033116,sacubitril 97mg / valsartan 103mg tablets
10943941000033112,entresto 24mg/26mg tablets
10944041000033114,entresto 49mg/51mg tablets
10944141000033113,entresto 97mg/103mg tablets
