medcodeid,term
639561000006111,emerg bypass pop art by pop/tib art anast c vein graft nec
639601000006111,emerg bypass popliteal artery by pop/fem art anastomosis nec
639621000006118,emerg bypass thoracic aorta by anatomosis aorta to aorta nec
659501000006114,extraanatomic bypass of aorta
659511000006112,extraanatomic bypass of aorta nos
865111000006116,indirect heart revascularisat.
865301000006116,percut angiopl coronary artery
1547181000006114,replacement of aortic root using pulmonary valve autograft with right ventricle to pulmonary artery valved conduit
1547311000006116,percutaneous transluminal cutting balloon angioplasty of coronary artery
1547631000006117,percutaneous transluminal balloon angioplasty with insertion of stent into coronary artery
1547641000006110,percutaneous transluminal balloon angioplasty and insertion of drug eluting stent into coronary artery
1547671000006119,percutaneous cor balloon angiop 3 more stents cor art nec
1548241000006113,high-flow interposition extracranial to intracranial bypass from external carotid artery to middle cerebral artery
1548251000006110,bypass of carotid artery by anastomosis of superficial temporal artery to middle cerebral artery
1767701000006110,bypass of aorta by anastomosis of axillary artery to bilateral femoral arteries
2676641000006116,percutaneous angioplasty of coronary artery
2715071000006111,femoral-distal bypass with peroneal artery
3535951000006117,cardiopulmonary bypass operation
3535981000006113,cpb - cardiopulmonary bypass
3821811000006110,heart revascularisation
4317911000006116,"coronary artery bypass graft, anastomosis of artery of thorax to coronary artery"
4666361000006110,extra-anatomic bypass of aorta
5040281000006119,percutaneous endarterectomy of coronary artery
5041981000006116,replacement of implanted aortic valve
5051631000006113,revascularisation of finger
5051671000006111,revascularisation of lower limb
5051731000006116,revascularisation of toe
5191511000006118,blood sampling from cardiopulmonary bypass circuit
5837271000006115,revascularisation - action
5837281000006117,revascularisation
6583131000006110,percutaneous rotational coronary endarterectomy
7224981000006113,bypass of axillary artery to brachial artery using vein graft
7350201000006111,bypass of segment of abdominal aorta by anastomosis of aorta to aorta
7358161000006119,percutaneous transluminal injection of therapeutic substance into coronary artery
7368571000006113,replacement of aortic root using pulmonary valve autograft and replacement of pulmonary valve
7368581000006111,replacement of aortic root using pulmonary valve autograft and replacement of pulmonary valve (ross procedure)
12120191000006118,revision of bypass of femoral artery with anastomosis of femoral artery to femoral artery using prosthesis
13961541000006110,coronary artery bypass graft using free lima (left internal mammary artery) graft
13961751000006115,percutaneous coronary intervention of left coronary artery
13961761000006118,pci (percutaneous coronary intervention) of lca (left coronary artery)
13961781000006111,pci (percutaneous coronary intervention) of left anterior descending branch of coronary artery
13961791000006114,percutaneous coronary intervention of circumflex branch of left coronary artery
13961801000006110,pci (percutaneous coronary intervention) of circumflex branch of left coronary artery
13961811000006113,percutaneous coronary intervention of right coronary artery
13961821000006117,pci (percutaneous coronary intervention) of rca (right coronary artery)
