medcodeid,term
4544701000006119,losing weight
4544711000006116,progressive weight loss
4551671000006115,on examination - height
4551681000006117,o/e - height greater than 20% below average
4551701000006119,o/e - height 10-20% below average
4551761000006118,o/e - height greater than 20% over average
4551811000006113,on examination - weight
4551821000006117,o/e - weight greater than 20% below ideal
4553701000006115,body mass index 25-29 - overweight
4553721000006113,bmi 25-29 - overweight
4553741000006118,bmi 30+ - obesity
4935051000006112,excessive weight gain
4937201000006110,weight and body mass assessment procedure
4986261000006116,g/kg body weight
5117851000006111,patient overweight
5247501000006116,overestimates own body weight
5247511000006118,underestimates own body weight
5256071000006119,general finding of height
5256131000006116,has grown in height
5256311000006113,reference weight
5273061000006119,obese abdomen
5451371000006112,weight decreased
5451381000006110,weight increased
5507901000006110,o/e - weight greater than 20% over ideal
5524151000006112,weight stable
5526441000006112,obese build
5526601000006112,height / growth measure
5529851000006116,has not grown in height
5533851000006117,weights
567001000000116,counterweight programme
5892171000006118,finding of measures of body height and growth
5892201000006119,observation of body mass index
5892251000006115,body weight problem
59281000006111,weight screening
59311000006113,weight symptom
5986631000006118,excessive weight loss
5990011000006117,normal height
5998281000006119,bmi less than 20
6251131000006111,weight gain (amount)
6251141000006118,weight loss (amount)
6251151000006116,body weight measure
6251171000006114,usual body weight
628891000000118,counterweight weight management programme
6509591000006118,weight maintenance regimen
6702411000006117,general appraisal of patient weight
6759901000006112,refer to weight management program
6763391000006114,body mass index 40+ - morbidly obese
6763401000006111,bmi (body mass index) 40+ - severely obese
6866991000006116,obese
6997371000006111,unexplained weight loss
7067191000006116,recent weight loss
7068841000006116,body mass index less than 16.5
7075901000006114,recent weight gain
7116681000006115,abnormal intentional weight loss
7297941000006116,weight/weight ratio
7508801000006119,patient advised about weight management
7771291000006114,weight management programme
7771301000006110,weight management program
7833991000006118,overweight in adulthood with body mass index of 25 or more but less than 30
7879461000006116,weight
8278851000006114,referral to weight management gpwsi (general practitioner with special interest)
8286991000006119,baseline bmi (body mass index)
839191000006115,weight control education
857321000006113,moderately obese
857681000006117,weight reduction clinic
857911000006118,very obese
903061000006114,weight loss
908721000006111,[rfc] overweight/ underweight
909921000006118,[rfc] weight problem
910251000006110,[rfc] overweight
910261000006112,[rfc] underweight
923831000006115,o/e - height
923851000006110,o/e - weight
923861000006112,body mass index
9423891000006114,slow weight gain
960561000006110,unexplained/progressive weight loss
977951000006110,health education - weight management
981731000006117,overweight: adult bmi 25.0; child bmi 95th percentile; or more
981741000006110,underweight: adult bmi 18.5; child bmi 5th percentile; or less
982581000006118,weight (over)
982591000006115,weight (under)
982601000006111,height (over)
982611000006114,height (under)
